SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DHARMENDRA KASHYAP,Bharatiya Janata Party,536377,1298,537675,51.07
2,RUCHIVIRA,Bahujan Samaj Party,423100,832,423932,40.27
3,KUNWAR SARVARAJ SINGH,Indian National Congress,62407,141,62548,5.94
4,MO. ATEEQ,National Fifty Fifty Front,1308,0,1308,0.12
5,IRSHAD ANSARI ADVOCATE,VANCHITSAMAJ INSAAF PARTY,909,3,912,0.09
6,RISHIPAL,Jan Shakti Ekta Party,1555,2,1557,0.15
7,DINESH KUMAR,Hindusthan Nirman Dal,1056,0,1056,0.1
8,DHARMENDRA KUMAR,Shivsena,1376,2,1378,0.13
9,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,941,2,943,0.09
10,PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,1736,3,1739,0.17
11,RAMPHAL SHAKYA,Bahujan Mukti Party,1659,1,1660,0.16
12,SUNIL KUMAR,Pragatishil Samajwadi Party (Lohia),2109,8,2117,0.2
13,LAKSHMI,Independent,3097,0,3097,0.29
14,HEMENDRA PAL SINGH,Independent,3675,0,3675,0.35
15,NOTA,None of the Above,9188,10,9198,0.87
,Total, ,1050493,2302,1052795,
